,humidity,light,node_id,temperature,time
,59.7,0,smart_art_1,22,2025-12-23T00:00:55.785079Z
,59.7,0,smart_art_1,22,2025-12-23T00:03:25.785705Z
,59.8,0,smart_art_1,22,2025-12-23T00:05:55.783807Z
,59.9,0,smart_art_1,22,2025-12-23T00:08:25.780458Z
,59.9,0,smart_art_1,22,2025-12-23T00:10:55.780335Z
,59.9,0,smart_art_1,21.9,2025-12-23T00:13:25.8156Z
,60,0,smart_art_1,21.9,2025-12-23T00:15:55.772267Z
,59.9,0,smart_art_1,21.9,2025-12-23T00:18:25.777569Z
,59.9,0,smart_art_1,21.9,2025-12-23T00:20:55.775473Z
,60,0,smart_art_1,21.9,2025-12-23T00:23:25.776521Z
,60,0,smart_art_1,21.9,2025-12-23T00:25:55.776524Z
,60,0,smart_art_1,22,2025-12-23T00:28:25.776278Z
,60.1,0,smart_art_1,22,2025-12-23T00:30:55.774505Z
,60.1,0,smart_art_1,22,2025-12-23T00:33:25.774063Z
,60.2,0,smart_art_1,22,2025-12-23T00:35:55.77722Z
,60.2,0,smart_art_1,22,2025-12-23T00:38:25.775179Z
,60.3,0,smart_art_1,22,2025-12-23T00:40:55.777713Z
,60.3,0,smart_art_1,22,2025-12-23T00:43:25.779971Z
,60.3,0,smart_art_1,22,2025-12-23T00:45:55.776912Z
,60.3,0,smart_art_1,22,2025-12-23T00:48:25.77794Z
,60.3,0,smart_art_1,22,2025-12-23T00:50:55.776386Z
,60.4,0,smart_art_1,22,2025-12-23T00:53:25.776628Z
,60.4,0,smart_art_1,22,2025-12-23T00:55:55.773018Z
,60.4,0,smart_art_1,22,2025-12-23T00:58:25.772115Z
,60.5,0,smart_art_1,22,2025-12-23T01:00:55.771817Z
,60.5,0,smart_art_1,21.9,2025-12-23T01:03:25.771089Z
,60.5,0,smart_art_1,21.9,2025-12-23T01:05:55.765153Z
,60.4,0,smart_art_1,21.9,2025-12-23T01:08:25.768026Z
,60.5,0,smart_art_1,22,2025-12-23T01:10:55.771134Z
,60.5,0,smart_art_1,22,2025-12-23T01:13:25.768175Z
,60.5,0,smart_art_1,22,2025-12-23T01:15:55.76823Z
,60.5,0,smart_art_1,22,2025-12-23T01:18:25.767398Z
,60.6,0,smart_art_1,22,2025-12-23T01:20:55.766732Z
,60.6,0,smart_art_1,22,2025-12-23T01:23:25.765551Z
,60.6,0,smart_art_1,21.9,2025-12-23T01:25:55.765651Z
,60.7,0,smart_art_1,22,2025-12-23T01:28:25.757856Z
,60.6,0,smart_art_1,22,2025-12-23T01:30:55.754753Z
,60.8,0,smart_art_1,22,2025-12-23T01:33:25.756343Z
,60.7,0,smart_art_1,21.9,2025-12-23T01:35:55.752301Z
,60.8,0,smart_art_1,21.9,2025-12-23T01:38:25.755154Z
,60.9,0,smart_art_1,22,2025-12-23T01:40:55.747968Z
,60.8,0,smart_art_1,21.9,2025-12-23T01:43:25.745119Z
,60.9,0,smart_art_1,21.9,2025-12-23T01:45:55.741167Z
,61,0,smart_art_1,22,2025-12-23T01:48:25.743276Z
,60.8,0,smart_art_1,21.9,2025-12-23T01:50:55.738865Z
,60.9,0,smart_art_1,22,2025-12-23T01:53:25.74075Z
,60.9,0,smart_art_1,21.9,2025-12-23T01:55:55.740892Z
,60.9,0,smart_art_1,21.9,2025-12-23T01:58:25.744037Z
,61.1,0,smart_art_1,21.9,2025-12-23T02:00:55.742722Z
,61.1,0,smart_art_1,21.9,2025-12-23T02:03:25.739488Z
,61.1,0,smart_art_1,22,2025-12-23T02:05:55.736401Z
,61.2,0,smart_art_1,22,2025-12-23T02:08:25.733741Z
,61,0,smart_art_1,22,2025-12-23T02:10:55.736403Z
,61.5,0,smart_art_1,22.1,2025-12-23T02:13:25.733928Z
,61.2,0,smart_art_1,22.1,2025-12-23T02:15:55.735579Z
,61,0,smart_art_1,22,2025-12-23T02:18:25.741439Z
,61,0,smart_art_1,22,2025-12-23T02:20:55.735137Z
,61.1,0,smart_art_1,22,2025-12-23T02:23:25.73364Z
,61.1,0,smart_art_1,22,2025-12-23T02:25:55.735752Z
